especie,fecha,den,habitat,cota,mes,year,sp.abb
Troglodytes troglodytes,2011-06-20,1.03,robledal,1700,6,2011,Tro.tro
Troglodytes troglodytes,2012-05-07,0.52,robledal,1700,5,2012,Tro.tro
Troglodytes troglodytes,2012-05-30,0.6,enebral,2230,5,2012,Tro.tro
Troglodytes troglodytes,2012-06-12,0.6,enebral,2230,6,2012,Tro.tro
Troglodytes troglodytes,2013-05-13,0.52,robledal,1700,5,2013,Tro.tro
Troglodytes troglodytes,2013-06-18,0.6,enebral,2230,6,2013,Tro.tro
Troglodytes troglodytes,2014-05-08,0.52,robledal,1700,5,2014,Tro.tro
Troglodytes troglodytes,2014-05-27,0.6,enebral,2230,5,2014,Tro.tro
Troglodytes troglodytes,2014-06-24,0.52,robledal,1700,6,2014,Tro.tro
Troglodytes troglodytes,2014-07-24,0.52,robledal,1700,7,2014,Tro.tro
Troglodytes troglodytes,2015-05-20,0.52,robledal,1700,5,2015,Tro.tro
Troglodytes troglodytes,2015-06-25,0.6,enebral,2230,6,2015,Tro.tro
Troglodytes troglodytes,2015-06-30,0.52,robledal,1700,6,2015,Tro.tro
Troglodytes troglodytes,2016-05-31,1.21,enebral,2230,5,2016,Tro.tro
Troglodytes troglodytes,2016-06-22,0.6,enebral,2230,6,2016,Tro.tro
Troglodytes troglodytes,2017-05-30,0.6,enebral,2230,5,2017,Tro.tro
Troglodytes troglodytes,2018-05-22,1.03,robledal,1700,5,2018,Tro.tro
Troglodytes troglodytes,2018-05-31,1.81,enebral,2230,5,2018,Tro.tro
Troglodytes troglodytes,2018-06-22,1.81,enebral,2230,6,2018,Tro.tro
Troglodytes troglodytes,2018-06-26,0.52,robledal,1700,6,2018,Tro.tro
Turdus merula,2008-05-13,1.03,robledal,1700,5,2008,Tur.mer
Turdus merula,2008-05-20,1.55,robledal,1700,5,2008,Tur.mer
Turdus merula,2008-06-05,2.59,robledal,1700,6,2008,Tur.mer
Turdus merula,2008-06-16,2.07,robledal,1700,6,2008,Tur.mer
Turdus merula,2008-07-02,0.52,robledal,1700,7,2008,Tur.mer
Turdus merula,2009-06-15,0.52,robledal,1700,6,2009,Tur.mer
Turdus merula,2010-05-10,0.52,robledal,1700,5,2010,Tur.mer
Turdus merula,2010-07-22,0.52,robledal,1700,7,2010,Tur.mer
Turdus merula,2011-05-06,1.55,robledal,1700,5,2011,Tur.mer
Turdus merula,2011-06-20,2.07,robledal,1700,6,2011,Tur.mer
Turdus merula,2011-07-27,1.03,robledal,1700,7,2011,Tur.mer
Turdus merula,2012-05-07,0.52,robledal,1700,5,2012,Tur.mer
Turdus merula,2012-06-14,1.03,robledal,1700,6,2012,Tur.mer
Turdus merula,2012-07-20,0.52,robledal,1700,7,2012,Tur.mer
Turdus merula,2013-05-13,0.52,robledal,1700,5,2013,Tur.mer
Turdus merula,2013-07-17,0.52,robledal,1700,7,2013,Tur.mer
Turdus merula,2014-05-08,1.03,robledal,1700,5,2014,Tur.mer
Turdus merula,2014-06-24,1.03,robledal,1700,6,2014,Tur.mer
Turdus merula,2014-07-24,0.52,robledal,1700,7,2014,Tur.mer
Turdus merula,2015-05-20,0.52,robledal,1700,5,2015,Tur.mer
Turdus merula,2015-06-30,1.03,robledal,1700,6,2015,Tur.mer
Turdus merula,2015-07-29,0.52,robledal,1700,7,2015,Tur.mer
Turdus merula,2017-07-03,0.52,robledal,1700,7,2017,Tur.mer
Turdus merula,2018-06-26,1.03,robledal,1700,6,2018,Tur.mer
Turdus merula,2018-07-30,3.62,robledal,1700,7,2018,Tur.mer
Turdus philomelos,2018-05-22,0.52,robledal,1700,5,2018,Tur.phi
Turdus viscivorus,2008-05-20,1.03,robledal,1700,5,2008,Tur.vis
Turdus viscivorus,2008-06-05,1.03,robledal,1700,6,2008,Tur.vis
Turdus viscivorus,2008-06-16,0.52,robledal,1700,6,2008,Tur.vis
Turdus viscivorus,2009-05-13,1.03,robledal,1700,5,2009,Tur.vis
Turdus viscivorus,2010-05-10,0.52,robledal,1700,5,2010,Tur.vis
Turdus viscivorus,2010-07-22,0.52,robledal,1700,7,2010,Tur.vis
Turdus viscivorus,2011-05-06,3.62,robledal,1700,5,2011,Tur.vis
Turdus viscivorus,2011-07-27,2.07,robledal,1700,7,2011,Tur.vis
Turdus viscivorus,2012-06-14,3.62,robledal,1700,6,2012,Tur.vis
Turdus viscivorus,2013-05-13,3.62,robledal,1700,5,2013,Tur.vis
Turdus viscivorus,2013-06-07,0.52,robledal,1700,6,2013,Tur.vis
Turdus viscivorus,2018-07-30,2.59,robledal,1700,7,2018,Tur.vis
